country,leMetLevel6,gear_code,n,benthisMetiers
BE,OTB_DEF_32-69,OTB,544,OT_DMF
BE,SSC_DEF_32-69,SSC,461,SSC_DMF
DE,DRB_MOL_>=0_0_0,DRB,82,DRB_MOL
DE,DRB_MOL_>=0_0_0,TBB,51,DRB_MOL
DE,FPN_SPF_32-54_0_0,OTM,212,
DE,LHP_FIF_,LHP,8,
DE,OTB_DEF_<16_0_0,OTB,2505,OT_DMF
DE,OTB_DEF_<16_0_0,PTB,42,OT_DMF
DE,OTB_DEF_130-219_0_0,OTB,1533,OT_DMF
DE,OTB_DEF_130-219_0_0,OTT,164,OT_DMF
DE,OTB_FIF_120,OTB,14,OT_DMF
DE,OTB_FIF_32,OTB,12,OT_DMF
DE,OTB_FIF_90,OTB,9,OT_DMF
DE,OTM_DEF_>=130_0_0,OTB,3,
DE,OTM_DEF_>=130_0_0,OTM,249,
DE,OTM_DEF_>=70_0_0,OTM,891,
DE,PTB_FIF_120,PTB,4,OT_DMF
DE,PTB_FIF_80,PTB,18,OT_DMF
DE,PTM_FIF_17,PTM,4,
DE,PTM_FIF_32,PTM,26,
DE,PTM_FIF_40,PTM,26,
DK,DRB_MOL_>=0_0_0,DRB,3417,DRB_MOL
DK,DRB_MOL_>=0_0_0,OTB,2,DRB_MOL
DK,DRB_MOL_>=0_0_0,TBB,1,DRB_MOL
DK,FPN_CRU_>0_0_0,FPO,19,
DK,OTB_CRU_40-59_0_0,OTB,2086,OT_CRU
DK,OTB_DEF_<16_0_0,DRB,12,OT_DMF
DK,OTB_DEF_<16_0_0,FPN,81,OT_DMF
DK,OTB_DEF_<16_0_0,OTB,38040,OT_DMF
DK,OTB_DEF_<16_0_0,OTM,9588,OT_DMF
DK,OTB_DEF_<16_0_0,PS,28,OT_DMF
DK,OTB_DEF_<16_0_0,PTB,382,OT_DMF
DK,OTB_DEF_<16_0_0,PTM,813,OT_DMF
DK,OTB_DEF_<16_0_0,TBB,4,OT_DMF
DK,OTB_DWS_90-119_0_0,OTB,21,OT_MIX_DMF_BEN
DK,OTB_SPF_>=105_1_120,OTB,17,OT_SPF
DK,OTB_SPF_70-89_0_0,OTB,7,OT_SPF
DK,OTB_SPF_90-104_0_0,OTB,4,OT_SPF
DK,OTM_DEF_32-54_0_0,OTM,3,
DK,OTM_DEF_70-89_0_0,OTM,10,
DK,OTM_SPF_>=105_1_110,OTM,9,
DK,OTM_SPF_90-119_0_0,OTM,6,
DK,PTB_CRU_90-119_0_0,PTB,638,OT_CRU
DK,PTB_DEF_90-119_0_0,PTB,207,OT_DMF
DK,PTM_DEF_90-119_0_0,PTM,11,
EE,GNS_DEF_90-149_0_0,GNS,200,
EE,OTM_DEF_>=105_0_0,OTM,641,
ES,DRB_MIS_0_0_0,DRB,87,DRB_MOL
ES,FPO_MIS_0_0_0,FPO,5366,
ES,GNS_MIS_0_0_0,GNS,24774,
ES,GTR_DEF_40-59_0_0,GTR,995,
ES,GTR_DEF_60-79_0_0,GTR,8922,
ES,GTR_MIS_0_0_0,GTR,365,
ES,HMD_MIS_0_0_0,HMD,8,
ES,LHM_CEP_0_0_0,LHM,571,
ES,LHM_DEF_0_0_0,LHM,2466,
ES,LHM_LPF_0_0_0,LHM,38378,
ES,LHM_MIS_0_0_0,LHM,927,
ES,LHM_SPF_0_0_0,LHM,7416,
ES,LLD_MIS_0_0_0,LLD,16,
ES,LLS_MIS_0_0_0,LLS,6507,
ES,OTB_MCD_>=55_0_0,OTB,94286,OT_MIX_CRU_DMF
ES,OTB_MCF_>=70_0_0,OTB,37893,OT_MIX_DMF_PEL
ES,OTB_MPD_>=55_0_0,OTB,81149,OT_MIX_DMF_PEL
ES,OTM_MIS_0_0_0,OTM,1023,
ES,PS_MIS_0_0_0,PS,6562,
ES,PTB_DEF_>=55_0_0,PTB,67868,OT_DMF
ES,PTB_DEF_>=70_0_0,PTB,26415,OT_DMF
ES,PTB_MIS_0_0_0,PTB,2595,OT_MIX
FR,DRB_MDD_0_0_0,DRB,11601,DRB_MOL
FR,DRB_MIS_0_0_0,DRB,20,DRB_MOL
FR,GN_DEF_0_0_0,GN,8,
FR,GND_CAT_120_219_0,GND,14,
FR,MIS_CAT_0_0_0,MIS,41,
FR,MIS_CRU_0_0_0,MIS,5,
FR,MIS_MDD_0_0_0,MIS,745,
FR,MIS_MOL_0_0_0,MIS,18,
FR,OTB_CAT_32_69_0,OTB,15,OT_MIX
FR,OTM_CAT_32_69_0,OTM,9,
FR,OTM_DEF_0_16_0,OTM,11,
FR,OTM_SPF_>=120_0,OTM,276,
FR,OTT_DWS_>=120_0,OTT,80,OT_MIX_DMF_BEN
FR,OTT_DWS_32_69_0,OTT,29,OT_MIX_DMF_BEN
FR,OTT_MOL_70_99_0,OTT,62,OT_MIX
FR,PTB_DWS_0_0_0,PTB,305,OT_MIX_DMF_BEN
FR,PTM_LPF_55_69_0,PTM,24,
FR,SDN_DEF_16_31_0,SDN,10,SDN_DMF
FR,SPR_DEF_0_0_0,SPR,1433,
FR,TBB_MOL_32_69_0,TBB,58,TBB_CRU
GB,GND_SPF_30-50_0_0,GND,15,
GB,GNS_DEF_>0_0_0,GNS,139,
GB,GNS_DEF_70-90_0_0,GN,13,
GB,HMD_MOL_>0_0_0,HMD,3837,
GB,OTB_CRU_40-59_0_0,OTB,76,OT_CRU
GB,OTB_DEF_<16_0_0,OTB,678,OT_DMF
GB,OTB_DEF_>0_0_0,OTB,61,OT_DMF
GB,OTB_DEF_130-219_0_0,OTB,4,OT_DMF
GB,OTB_DWS_>=70_0_0,OTB,27,OT_MIX_DMF_BEN
GB,OTB_MOL_>0_0_0,OTB,55,OT_MIX
GB,OTM_SPF_<55_0_0,OTM,21,
GB,OTM_SPF_>=55_0_0,OTM,22,
GB,OTM_SPF_>0_0_0,OTM,24,
GB,OTT_DWS_100-119_0_0,OTT,43,OT_MIX_DMF_BEN
GB,OTT_MOL_100-129_0_0,OTT,6,OT_MIX
GB,PTB_CRU_<16_0_0,PTB,61,OT_CRU
GB,PTM_SPF_>=55_0_0,PTM,86,
GB,PTM_SPF_>=70_0_0,PTM,44,
GB,SDN_DEF_16-31_0_0,SDN,4,SDN_DMF
GB,SSC_DEF_>=55_0_0,SSC,1,SSC_DMF
GB,SSC_DEF_>0_0_0,SSC,4,SSC_DMF
GB,TBB_DEF_>=70_0_0,TBB,5,TBB_DMF
IE,MIS_MOL_0_0_0,MIS,3,
IE,OTB_DEF_79-99_0_0,OTB,24,OT_DMF
IE,OTB_MCF_>=120_0_0,OTB,83,OT_MIX_DMF_PEL
IE,OTM_LPF_16-31_0_0,OTM,190,
IE,TBB_MCF_70-99_0_0,TBB,8,TBB_DMF
IS,GSN_DEF_152_0_0,GNS,14840,
IS,GSN_DEF_178_0_0,GNS,5977,
IS,GSN_DEF_203_0_0,GNS,48027,
IS,GSN_DEF_229_0_0,GNS,29892,
IS,LHM_DEF_0_0_0,LHM,285186,
IS,OTB_DEF_135_0_0,OTB,620505,OT_DMF
IS,OTB_DEF_155_0_0,OTB,210133,OT_DMF
IS,OTB_MCD_40_0_0,OTB,88290,OT_MIX_CRU_DMF
IS,OTB_MCD_80_0_0,OTB,38931,OT_MIX_CRU_DMF
IS,OTM_SPF_40_0_0,OTM,185567,
IS,SDN_DEF_135_0_0,SDN,84624,SDN_DMF
IS,SDN_DEF_155_0_0,SDN,10373,SDN_DMF
LT,OTB_DEF_>0_0_0,OTB,418,OT_DMF
NL,DRB_MOL_>=0_0_0,DRB,884,DRB_MOL
NL,HMD_MOL_>=0_0_0,HMD,2877,
NL,TBB_MCD_100-119_0_0,TBB,909,TBB_DMF
NO,GNS_CRU_71-89_0_0,GNS,958,
NO,GNS_DEF_>0_0_0,GNS,12,
NO,GNS_SPF_71-89_0_0,GNS,338,
NO,LHM_DEF_0_0_0,LHM,1,
NO,LHM_SPF_0_0_0,LHM,5,
NO,OTB_CEP_>=120_0_0,OTB,39,OT_MIX
NO,OTB_CEP_16-31_0_0,OTB,23,OT_MIX
NO,OTB_CEP_32-69_0_0,OTB,21,OT_MIX
NO,OTB_CRU_32-39_0_0,OTB,9,OT_CRU
NO,OTB_CRU_40-54_0_0,OTB,98,OT_CRU
NO,OTB_CRU_90-99_0_0,OTB,219,OT_CRU
NO,OTB_DEF_<16_0_0,OTB,8818,OT_DMF
NO,OTB_DEF_>0_0_0,OTB,106,OT_DMF
NO,OTB_DEF_32-39_0_0,OTB,18,OT_DMF
NO,OTB_DEF_32-89_0_0,OTB,6,OT_DMF
NO,OTB_DEF_40-54_0_0,OTB,110,OT_DMF
NO,OTB_DEF_55-64_0_0,OTB,8,OT_DMF
NO,OTB_SPF_>0_0_0,OTB,3,OT_SPF
NO,OTM_DEF_>0_0_0,OTM,6,
NO,OTM_DEF_32-39_0_0,OTM,900,
NO,OTM_DEF_40-54_0_0,OTM,4451,
NO,OTM_DEF_55-64_0_0,OTM,324,
NO,OTM_DEF_70-89_0_0,OTM,20,
NO,OTM_SPF_32-39_0_0,OTM,217,
NO,OTM_SPF_40-54_0_0,OTM,806,
NO,OTM_SPF_55-64_0_0,OTM,90,
NO,PS_DEF_<16_0_0,PS,226,
NO,PS_DEF_>0_0_0,PS,166,
NO,PS_DEF_16-31_0_0,PS,240,
NO,PS_DEF_32-39_0_0,PS,17,
NO,PS_DEF_40-54_0_0,PS,137,
NO,PS_DEF_55-64_0_0,PS,5,
NO,PS_SPF_<16_0_0,PS,135,
NO,PS_SPF_32-39_0_0,PS,62,
NO,PS_SPF_40-54_0_0,PS,47,
NO,PS_SPF_55-64_0_0,PS,5,
NO,PTM_DEF_32-39_0_0,PTM,773,
NO,PTM_DEF_40-54_0_0,PTM,4224,
NO,PTM_DEF_55-64_0_0,PTM,590,
NO,PTM_DEF_70-89_0_0,PTM,27,
NO,PTM_SPF_40-54_0_0,PTM,198,
NO,PTM_SPF_55-64_0_0,PTM,6,
NO,SDN_DEF_16-31_0_0,SDN,11,SDN_DMF
NO,SPR_DEF_>0_0_0,SPR,1253,
NO,SSC_DEF_>0_0_0,SSC,124,SSC_DMF
NO,SSC_DEF_16-31_0_0,SSC,3447,SSC_DMF
NO,SSC_DEF_70-89_0_0,SSC,2,SSC_DMF
NO,SSC_DEF_90-99_0_0,SSC,1,SSC_DMF
PL,OTB_DEF_<16_0_0,OTB,272,OT_DMF
SE,OTB_DEF_<16_0_0,OTB,6174,OT_DMF
SE,OTB_DEF_>=115_0_0,OTB,2369,OT_DMF
SE,OTB_MCD_70-89_0_0,OTB,28,OT_MIX_CRU_DMF
SE,OTT_DEF_>=115_0_0,OTT,189,OT_DMF
